Timestamp,No Helmet Count
2024-05-28 16:52:42.709898,1
2024-05-28 16:52:42.774626,1
2024-05-28 16:52:42.842570,1
2024-05-28 16:52:42.906520,1
2024-05-28 16:52:42.970771,1
2024-05-28 16:52:43.036881,1
2024-05-28 16:52:43.120796,1
2024-05-28 16:52:43.184708,1
2024-05-28 16:52:43.251188,1
2024-05-28 16:52:43.312203,1
2024-05-28 16:52:43.374016,1
2024-05-28 16:52:43.435706,1
2024-05-28 16:52:43.501941,1
2024-05-28 16:52:43.562381,1
2024-05-28 16:52:43.634157,1
2024-05-28 16:52:43.700747,1
2024-05-28 16:52:43.762730,1
2024-05-28 16:52:43.839838,1
2024-05-28 16:52:43.909528,1
2024-05-28 16:52:43.972382,1
2024-05-28 16:52:44.037243,1
2024-05-28 16:52:44.110824,1
2024-05-28 16:52:44.168322,1
2024-05-28 16:52:44.239242,1
2024-05-28 16:52:44.304179,1
2024-05-28 16:52:44.377773,1
2024-05-28 16:52:44.441156,1
2024-05-28 16:52:44.511928,1
2024-05-28 16:52:44.579801,1
2024-05-28 16:52:44.645052,1
2024-05-28 16:52:44.705875,1
2024-05-28 16:52:44.771380,1
2024-05-28 16:52:44.835446,1
2024-05-28 16:52:44.897863,1
2024-05-28 16:52:44.957935,1
2024-05-28 16:52:45.023934,1
2024-05-28 16:52:45.087831,1
2024-05-28 16:52:45.150273,1
2024-05-28 16:52:45.214996,1
2024-05-28 16:52:45.282876,1
2024-05-28 16:52:45.348515,1
2024-05-28 16:52:45.414942,1
2024-05-28 16:52:45.801257,1
2024-05-28 16:52:45.867445,1
2024-05-28 16:52:45.930315,1
2024-05-28 16:52:46.020008,1
2024-05-28 16:52:46.083207,1
2024-05-28 16:52:46.146303,1
2024-05-28 16:52:46.209047,1
2024-05-28 16:52:46.272798,1
2024-05-28 16:52:46.336071,1
2024-05-28 16:52:46.397015,1
2024-05-28 16:52:46.458427,1
2024-05-28 16:52:46.520668,1
2024-05-28 16:52:46.587602,1
2024-05-28 16:52:46.768779,1
2024-05-28 16:52:46.834280,1
2024-05-28 16:52:46.897704,1
2024-05-28 16:52:46.961000,1
2024-05-28 16:52:47.022671,1
2024-05-28 16:52:47.148030,1
2024-05-28 16:52:47.213250,1
2024-05-28 16:52:47.275235,1
2024-05-28 16:52:47.339139,1
2024-05-28 16:52:47.402608,1
2024-05-28 16:52:47.467182,1
2024-05-28 16:52:47.527519,1
2024-05-28 16:52:47.589832,1
2024-05-28 16:52:47.663269,1
2024-05-28 16:52:47.731976,1
2024-05-28 16:52:47.800848,1
2024-05-28 16:52:47.885252,1
2024-05-28 16:52:47.948670,1
2024-05-28 16:52:48.008708,1
2024-05-28 16:52:48.077898,1
2024-05-28 16:52:48.142010,1
2024-05-28 16:52:48.204787,1
2024-05-28 16:52:48.270153,1
2024-05-28 16:52:48.335015,1
2024-05-28 16:52:48.400852,1
2024-05-28 16:52:48.470078,1
2024-05-28 16:52:48.535631,1
2024-05-28 16:52:48.597544,1
2024-05-28 16:52:48.662585,1
2024-05-28 16:52:48.724007,1
